Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,L,M,temp_diff,TorqueSpeed,Torque_per_rpm,Air temperature [K]_zscore_abs,Process temperature [K]_zscore_abs,Rotational speed [rpm]_zscore_abs,Torque [Nm]_zscore_abs,Tool wear [min]_zscore_abs,Tool_wear_bin,TempDiff_x_ToolWear,anomaly_score,anomaly_flag
M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,False,True,10.5,68422.90000000001,0.038162808065720685,0.7023741535518057,0.6103249407423005,1.1142990625077795,1.1147721817911775,1.1617624916249438,low,357.0,0.14813761003356257,0
M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,False,True,10.599999999999966,52260.0,0.01722158438576349,0.7023741535518057,0.5429274253107327,1.1335299930731186,1.0018032293495431,1.1146328047393732,low,392.19999999999874,0.1480231656346508,0
L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,True,False,10.599999999999966,39886.0,0.009631449631449632,0.7023741535518057,0.5429274253107327,2.76780769353268,2.045044190290941,1.0675031178538026,low,423.99999999999864,0.04044450336011263,0
L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,True,False,10.599999999999966,74632.8,0.03138780804150454,0.7023741535518057,0.5429274253107327,0.01798207467068775,0.8439307784698528,1.0360833265967555,low,445.19999999999857,0.160378073249335,0
M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,False,True,10.599999999999966,61092.6,0.03554538520213577,0.7023741535518057,0.5429274253107327,1.27047577108412,0.6633698429223034,1.0046635353397084,low,466.3999999999985,0.16587729589244388,0
M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,False,True,10.5,64296.0,0.03234042553191489,0.6523806198133577,0.5429274253107327,0.7182795514749166,0.5630582120625537,0.9575338484541379,low,493.5,0.2002003292605875,0
H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,False,False,10.399999999999977,71177.0,0.041730474732006126,0.6023870860748813,0.5429274253107327,1.2983644690441807,1.4558317267143266,0.9104041615685673,low,519.9999999999989,0.11896763171204616,0
M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,False,True,10.400000000000034,53040.0,0.01991421568627451,0.5523935523364334,0.47552990987912647,0.5199786379517817,0.7510241522001687,0.8318546834259496,low,572.0000000000018,0.1872977076044786,0
H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,False,False,10.400000000000034,58712.50000000001,0.031054545454545456,0.5523935523364334,0.47552990987912647,0.913500437195342,0.2721544825692794,0.7847249965403791,low,603.200000000002,0.19309736033282054,0
L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,True,False,10.5,64959.99999999999,0.030896551724137928,0.6023870860748813,0.47552990987912647,0.49516996779443045,0.48280890737475335,0.7061755183977614,med,661.5,0.21245697550048132,0
M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,False,True,10.400000000000034,48536.7,0.01941808981657179,0.5523935523364334,0.47552990987912647,0.23551391875916178,0.9315850877477184,0.6747557271407143,med,676.0000000000023,0.17426040721639463,0
L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,True,False,10.399999999999977,45180.6,0.014618885096700797,0.502400018597957,0.4081323944475586,1.2227738265453132,1.4331432420464674,0.6276260402551437,med,707.1999999999985,0.13904065803409887,0
M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,False,True,10.399999999999977,58225.299999999996,0.02389493914157591,0.502400018597957,0.4081323944475586,0.1239591269189187,0.2695283240733701,0.5962062489980966,med,727.9999999999984,0.2103237715415875,0
L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,True,False,10.5,43361.3,0.012520150456743687,0.502400018597957,0.34073487901595245,1.7972810045225651,1.6738911561098668,0.549076562112526,med,766.5,0.10844897592519998,0
L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,True,False,10.399999999999977,58968.0,0.025793650793650792,0.4524064848594807,0.34073487901595245,0.14935011308967688,0.09899855161179513,0.5176567708554789,med,779.9999999999983,0.21782648187476356,0
H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,False,False,10.299999999999955,44550.600000000006,0.013583655438983988,0.4524064848594807,0.4081323944475586,1.5183940249219574,1.543486035992192,0.4862369795984319,med,793.0999999999965,0.1155346052287109,0
L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,True,False,10.299999999999955,63603.8,0.03071577484364142,0.4524064848594807,0.4081323944475586,0.5565251033065641,0.4226219288589041,0.40768750145581417,med,844.5999999999963,0.215362943523991,0
L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,True,False,10.399999999999977,50959.3,0.0177790903721205,0.502400018597957,0.4081323944475586,0.8602207530645231,0.9917720662635682,0.3762677101987671,med,873.5999999999981,0.1787354586591845,0
M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,False,True,10.399999999999977,64539.8,0.03599701269604182,0.4524064848594807,0.34073487901595245,1.1142990625077795,0.8238684522979033,0.34484791894172,med,894.399999999998,0.18786197842320695,0
L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,True,False,10.399999999999977,45849.0,0.01418242491657397,0.502400018597957,0.4081323944475586,1.4458834102257994,1.4532055682184173,0.29771823205614945,med,925.599999999998,0.12371472717367266,0
L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,True,False,10.399999999999977,68537.7,0.034038054968287525,0.502400018597957,0.4081323944475586,0.6680798951468072,0.8338996153838777,0.26629844079910236,med,946.3999999999979,0.20523684863395358,0
L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,True,False,10.400000000000034,54112.5,0.01951951951951952,0.5523935523364334,0.47552990987912647,0.7040440444881828,0.7510241522001687,0.23487864954205528,med,967.2000000000032,0.1866462916915626,0
M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,False,True,10.300000000000011,54097.3,0.0222578576010263,0.6023870860748813,0.6103249407423005,0.11280364773489437,0.530338564308719,0.2034588582850082,med,978.5000000000011,0.20419411412964977,0
M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,False,True,10.399999999999977,70567.2,0.03347107438016529,0.6023870860748813,0.5429274253107327,0.4840144886104062,0.863993104641803,0.1563291713994376,med,1019.1999999999978,0.19537733256262185,0
M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,False,True,10.300000000000011,58022.700000000004,0.023213156230234032,0.5523935523364334,0.5429274253107327,0.23551391875916178,0.3297153025892194,0.10919948451386699,med,1040.300000000001,0.2037210109688236,0
L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,True,False,10.300000000000011,56408.8,0.02724113968033357,0.6023870860748813,0.6103249407423005,0.5565251033065641,0.07893622543984488,0.06206979762829638,med,1071.2000000000012,0.20752395486622122,0
H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,False,False,10.300000000000011,69915.3,0.03676577229876722,0.5523935523364334,0.5429274253107327,0.8911894788272935,1.0746475294472777,0.030650006371249313,med,1091.800000000001,0.18080938741281577,0
L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,True,False,10.300000000000011,70875.0,0.03888888888888889,0.6023870860748813,0.6103249407423005,1.052943926995646,1.255208464994827,0.047899471771368364,med,1143.3000000000013,0.15159840149547793,0
L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,True,False,10.300000000000011,61834.799999999996,0.03333333333333333,0.6023870860748813,0.6103249407423005,0.9860110518915001,0.5429958858906034,0.07931926302841544,med,1163.9000000000012,0.19118002318380473,0
L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,True,False,10.300000000000011,69494.4,0.0371345029239766,0.6023870860748813,0.6103249407423005,0.9525446143394272,1.084678692533252,0.1107390542854625,med,1184.5000000000014,0.18073064614236534,0
M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,False,True,10.300000000000011,67168.8,0.03589181286549708,0.6023870860748813,0.6103249407423005,0.9525446143394272,0.9141489200716779,0.14215884554250957,med,1205.1000000000013,0.1910130918058951,0
H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,False,False,10.399999999999977,66542.0,0.03534985422740525,0.6023870860748813,0.5429274253107327,0.9302336559713785,0.8539619415558278,0.1892885324280802,med,1247.9999999999973,0.20291144052448745,0
M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,False,True,10.300000000000011,69920.0,0.03226902173913043,0.6023870860748813,0.6103249407423005,0.37245969677016305,0.7536503106960781,0.26783801057069784,med,1287.5000000000014,0.19896428824796697,0
L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,True,False,10.300000000000011,73109.90000000001,0.03297515110812626,0.6023870860748813,0.6103249407423005,0.2776381237059564,0.9141489200716779,0.31496769745626846,med,1318.4000000000015,0.17343152833462466,0
M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,False,True,10.300000000000011,47549.4,0.01399891481280521,0.6523806198133577,0.6777224561739067,1.6968816918663463,1.4231120789604923,0.34638748871331554,med,1339.0000000000014,0.12987729175818064,0
L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,True,False,10.300000000000011,65653.4,0.032651622002820874,0.6023870860748813,0.6103249407423005,0.6736576347388195,0.6332763536643781,0.39351717559888616,med,1369.9000000000015,0.20700479854807557,0
H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,False,False,10.399999999999977,76807.5,0.03782456140350877,0.6023870860748813,0.5429274253107327,0.6346134575947343,1.3956447481984766,0.42493696685593324,med,1403.9999999999968,0.14956068516141752,0
M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,False,True,10.300000000000011,62269.200000000004,0.03123229461756374,0.5523935523364334,0.5429274253107327,0.7071240722908924,0.41259076577292897,0.5034864449985509,med,1442.0000000000016,0.20731013946296778,0
L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,True,False,10.200000000000045,13160.599999999999,0.0016078294302691366,0.5523935523364334,0.6103249407423005,7.3750205965347195,3.549718653187188,0.5506161318841215,high,1458.6000000000065,-0.06476995788655782,1
L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,True,False,10.200000000000045,75926.7,0.03969631236442516,0.5523935523364334,0.6103249407423005,0.8688785204592449,1.4959563790582264,0.5820359231411686,high,1479.0000000000066,0.14453687854781833,0
H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,False,False,10.199999999999989,65568.59999999999,0.029258517034068135,0.6023870860748813,0.6777224561739067,0.2330162069698592,0.3824972765150036,0.6134557143982157,high,1499.3999999999983,0.21099124835686223,0
L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,True,False,10.300000000000011,54931.5,0.022428115015974442,0.6523806198133577,0.6777224561739067,0.1462700852869673,0.49021391196481917,0.6920051925408334,high,1565.6000000000017,0.20791519210728804,0
L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,True,False,10.300000000000011,50899.100000000006,0.017800118273211117,0.6523806198133577,0.6777224561739067,0.8490652738804988,0.9917720662635682,0.7234249837978804,high,1586.2000000000016,0.1791389542736878,0
L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,True,False,10.300000000000011,61538.4,0.02691798941798942,0.6023870860748813,0.6103249407423005,0.14935011308967688,0.07153122084977981,0.7548447750549274,high,1606.8000000000018,0.21067935628732914,0
L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,True,False,10.300000000000011,62624.799999999996,0.02870683818551117,0.6023870860748813,0.6103249407423005,0.3445709988101023,0.24206099331135403,0.7862645663119745,high,1627.400000000002,0.2109132217733039,0
L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,True,False,10.300000000000011,60973.899999999994,0.02663582286847323,0.6023870860748813,0.6103249407423005,0.14377237349766472,0.03140656850587931,0.8176843575690216,high,1648.0000000000018,0.20981265909253527,0
M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,False,True,10.199999999999989,48999.5,0.017760385310054184,0.6023870860748813,0.6777224561739067,0.6817330861201342,1.051959044779418,0.8491041488260687,high,1652.3999999999983,0.1647026667311703,0
L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,True,False,10.300000000000011,74963.2,0.03947750362844702,0.6023870860748813,0.6103249407423005,0.8967672184193056,1.4458005636283515,0.8962338357116393,high,1699.5000000000018,0.14549065040373382,0
L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,True,False,10.300000000000011,73271.8,0.037760229720028717,0.6023870860748813,0.6103249407423005,0.8131011245391233,1.2652396280808023,0.9276536269686864,high,1720.100000000002,0.15902636395452113,0
M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,False,True,10.199999999999989,60814.4,0.023994974874371862,0.6023870860748813,0.6777224561739067,0.2968690542712955,0.17924785629959467,0.9590734182257334,high,1723.7999999999981,0.18953937811300947,0
L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,True,False,10.199999999999989,41884.1,0.012520503007107709,0.6023870860748813,0.6777224561739067,1.6187933375781762,1.7140158084537669,1.006203105111304,high,1754.399999999998,0.10333404844194383,0
M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,False,True,10.100000000000023,46930.799999999996,0.014293598233995584,0.5523935523364334,0.6777224561739067,1.5239717645139694,1.4130809158745175,1.0376228963683511,high,1757.400000000004,0.1164911434752482,0
L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,True,False,10.100000000000023,58787.8,0.02534471437951412,0.502400018597957,0.6103249407423005,0.08799497757754318,0.1391232039556949,1.0847525832539218,high,1787.700000000004,0.19962092925339547,0
L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,True,False,10.100000000000023,62869.4,0.03235294117647059,0.502400018597957,0.6103249407423005,0.8075233849471112,0.5129023966326788,1.1161723745109688,high,1807.9000000000042,0.1885539782356207,0
M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,False,True,10.0,48187.299999999996,0.017093508040500298,0.5523935523364334,0.7451199716055128,0.7821323987763529,1.132208349467218,1.147592165768016,high,1810.0,0.14828474557408483,0
H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,False,False,10.099999999999966,64650.6,0.030081855388813097,0.6023870860748813,0.7451199716055128,0.405926134322236,0.41259076577292897,1.1947218526535865,high,1858.3999999999937,0.19616862014789133,0
L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,True,False,10.099999999999966,49474.799999999996,0.021218074656188603,0.6023870860748813,0.7451199716055128,0.06568401920949457,0.7610553152861439,1.2732713307962042,high,1908.8999999999935,0.1683206984338353,0
L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,True,False,10.100000000000023,92637.0,0.046595744680851064,0.5523935523364334,0.6777224561739067,0.7182795514749166,2.5793219923435244,1.3046911220532513,high,1929.1000000000045,0.01931088026634542,0
M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,False,True,10.100000000000023,43482.4,0.011746361746361747,0.5523935523364334,0.6777224561739067,2.148678598819331,1.7441092977116917,1.3361109133102982,high,1949.3000000000043,0.08975231334659872,0
L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,True,False,10.200000000000045,66066.0,0.03133608815426997,0.5523935523364334,0.6103249407423005,0.4840144886104062,0.5530270489765785,1.3832406001958688,high,1999.200000000009,0.1923314135693983,0
L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,True,False,10.200000000000045,60783.6,0.032432432432432434,0.5523935523364334,0.6103249407423005,0.946966874747415,0.4426842550308536,1.4146603914529159,high,2019.600000000009,0.17218037614737391,0
L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,True,False,10.100000000000023,55720.0,0.02198492462311558,0.502400018597957,0.6103249407423005,0.2968690542712955,0.5002450750507943,1.446080182709963,high,2020.0000000000045,0.1810751355074906,0
L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,True,False,10.100000000000023,51712.299999999996,0.020174890693316676,0.5523935523364334,0.6777224561739067,0.34706871059940486,0.771086478372119,1.47749997396701,high,2040.2000000000046,0.1726654458462345,0
L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,True,False,10.099999999999966,64399.3,0.03386511965192168,0.6023870860748813,0.7451199716055128,0.8911894788272935,0.6734010060082786,1.5089197652240571,high,2060.3999999999933,0.17233000998602793,0
L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,True,False,10.099999999999966,69981.9,0.03278576317590691,0.6023870860748813,0.7451199716055128,0.4338148322822968,0.7937749630399779,1.5403395564811042,high,2080.599999999993,0.17344048308944537,0
L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,True,False,10.099999999999966,60091.49999999999,0.02838487972508591,0.6023870860748813,0.7451199716055128,0.4672812698343697,0.13171819936562912,1.5717593477381513,high,2100.799999999993,0.18433960456766862,0
L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,True,False,10.099999999999966,71997.0,0.03683834048640915,0.6023870860748813,0.7451199716055128,0.7852124265790625,1.1548968341350772,1.6958989429947442,low,0.0,0.1323671985175272,0
L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,True,False,10.099999999999966,53135.799999999996,0.027032810271041367,0.6023870860748813,0.7451199716055128,0.7629014682110139,0.20934134555752004,1.6644791517376971,low,20.199999999999932,0.1487541239122644,0
H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,False,False,10.0,72105.5,0.03453287197231834,0.6023870860748813,0.8125174870370807,0.5230586657544912,0.9943982247594775,1.63305936048065,low,40.0,0.15439594535706475,0
L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,True,False,10.0,68875.0,0.032758620689655175,0.5523935523364334,0.7451199716055128,0.49516996779443045,0.7536503106960781,1.5545098823380323,low,90.0,0.17457317554734386,0
L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,True,False,10.0,59282.399999999994,0.02807983482450103,0.5523935523364334,0.7451199716055128,0.478436749018394,0.08156238393575421,1.5230900910809853,low,110.0,0.18439301633689825,0
L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,True,False,10.0,58906.9,0.027297481279782165,0.502400018597957,0.6777224561739067,0.38919291554619956,0.011344242333929786,1.4916702998239382,low,130.0,0.18877417765293564,0
L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,True,False,10.0,67687.2,0.03347398030942335,0.5523935523364334,0.7451199716055128,0.6513466763707708,0.7636814737820532,1.460250508566891,low,150.0,0.18341712037375962,0
M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,False,True,10.0,48347.200000000004,0.014855875831485588,0.502400018597957,0.6777224561739067,1.4793498477778722,1.3228004481007425,1.428830717309844,low,170.0,0.10229116396970339,0
H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,False,False,10.0,63040.4,0.030571030640668524,0.502400018597957,0.6777224561739067,0.5732583220826006,0.3925284396009787,1.3817010304242734,low,200.0,0.19869100959143676,0
L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,True,False,10.0,49099.200000000004,0.020595854922279794,0.502400018597957,0.6777224561739067,0.029137553854712058,0.8212422938019935,1.3031515522816557,low,250.0,0.16547529883860795,0
M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,False,True,10.0,64138.8,0.03185341789992953,0.502400018597957,0.6777224561739067,0.6680798951468072,0.5229335597186539,1.2717317610246086,low,270.0,0.1986289111035301,0
M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,False,True,10.0,58736.5,0.0265635507733692,0.5523935523364334,0.7451199716055128,0.28879360288998074,0.048842736181920234,1.224602074139038,low,300.0,0.20293933794011493,0
L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,True,False,10.0,45227.4,0.014717626925270965,0.5523935523364334,0.7451199716055128,1.1948851285852524,1.4231120789604923,1.1774723872534674,low,330.0,0.1258480523074484,0
L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,True,False,10.0,45567.0,0.01360655737704918,0.5523935523364334,0.7451199716055128,1.6243710771701882,1.5133925467342673,1.1460525959964203,low,350.0,0.10873511275536507,0
M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,False,True,10.0,46801.700000000004,0.015691951360741172,0.5523935523364334,0.7451199716055128,1.0498638991929363,1.2927069588428175,1.1146328047393732,low,370.0,0.1331428572309673,0
L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,True,False,9.899999999999977,62350.0,0.029655172413793104,0.4524064848594807,0.6777224561739067,0.49516996779443045,0.30224797182720403,1.0675031178538026,low,395.9999999999991,0.21095296652695822,0
L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,True,False,9.899999999999977,51741.799999999996,0.01966707768187423,0.502400018597957,0.7451199716055128,0.46420124203166013,0.8112111307160188,1.0360833265967555,low,415.79999999999905,0.17397138994394357,0
M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,False,True,10.0,70522.2,0.038638045891931906,0.502400018597957,0.6777224561739067,1.0473661874036337,1.2251149757369024,1.0046635353397084,low,440.0,0.14484811833708405,0
M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,False,True,10.0,55597.49999999999,0.022412698412698412,0.502400018597957,0.6777224561739067,0.20204748120708885,0.47015158579286964,0.9575338484541379,low,470.0,0.19809255508923768,0
M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,False,True,10.0,52325.0,0.017085714285714284,0.5523935523364334,0.7451199716055128,1.178151909809216,1.0118343924355184,0.9104041615685673,low,500.0,0.14322510804543337,0
L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,True,False,9.900000000000034,49998.3,0.021386527141922827,0.5523935523364334,0.8125174870370807,0.05452854002547026,0.7309618260282186,0.8632744746829967,low,524.7000000000019,0.17484424497046297,0
L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,True,False,10.0,67621.2,0.029152987524622455,0.6023870860748813,0.8125174870370807,0.08799497757754318,0.4426842550308536,0.8318546834259496,low,550.0,0.19918403153165332,0
L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,True,False,10.099999999999966,46300.0,0.013498920086393088,0.6023870860748813,0.7451199716055128,1.7470813481944556,1.5033613836482922,0.8004348921689025,low,575.699999999998,0.11278074098595348,0
L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,True,False,10.0,41213.7,0.01039678553490708,0.6023870860748813,0.8125174870370807,2.5223871514841454,1.9347013963452164,0.7690151009118555,low,590.0,0.07040911320681775,0
L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,True,False,10.0,63133.0,0.026109324758842443,0.6023870860748813,0.8125174870370807,0.09049268936684576,0.06150005776380468,0.7375953096548085,med,610.0,0.2020374040417583,0
M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,False,True,10.0,58360.5,0.028105482303955587,0.6023870860748813,0.8125174870370807,0.5453696241225399,0.05146889467782956,0.7061755183977614,med,630.0,0.20267882734202053,0
L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,True,False,9.899999999999977,62930.0,0.02993103448275862,0.6023870860748813,0.8799150024686869,0.49516996779443045,0.3423726241711038,0.6590458315121908,med,653.3999999999985,0.20890960516915547,0
L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,True,False,9.899999999999977,49480.100000000006,0.01954745443117536,0.6023870860748813,0.8799150024686869,0.2912913146792833,0.8914604354038184,0.6276260402551437,med,673.1999999999985,0.17704135702633728,0
L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,True,False,9.899999999999977,70082.5,0.03356401384083045,0.6023870860748813,0.8799150024686869,0.5230586657544912,0.8539619415558278,0.5962062489980966,med,692.9999999999984,0.19348674400223598,0
M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,False,True,10.0,70059.59999999999,0.0312625250501002,0.6023870860748813,0.8125174870370807,0.2330162069698592,0.683432169094253,0.5647864577410495,med,720.0,0.19797303903665442,0
H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,False,False,9.900000000000034,53006.700000000004,0.020172732880937693,0.5523935523364334,0.8125174870370807,0.45862350243964795,0.7309618260282186,0.5176567708554789,med,742.5000000000025,0.18340635968599817,0
L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,True,False,9.800000000000011,53605.200000000004,0.02169211195928753,0.5523935523364334,0.8799150024686869,0.1853142624310524,0.5905255428245689,0.43910729271286125,med,784.0000000000009,0.1877705500879951,0
L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,True,False,9.800000000000011,42120.0,0.01201923076923077,0.6023870860748813,0.9473125179002547,1.8586361400346987,1.7541404607976667,0.40768750145581417,med,803.6000000000009,0.09330901112197643,0
